Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Kevin Love\loveke01,22,MIN,66.0,400.0,580,0.690,73,35.8,20.2,15.2,2.5,0.6,0.4,.470,.417,.850,11.4,.210
2,LaMarcus Aldridge\aldrila01,25,POR,11.0,157.0,580,0.271,81,39.6,21.8,8.8,2.1,1.0,1.2,.500,.174,.791,11.1,.166
3,Dorell Wright\wrighdo01,25,GSW,16.0,124.0,580,0.214,82,38.4,16.4,5.3,3.0,1.5,0.8,.423,.376,.789,5.8,.088
4,Derrick Rose\rosede01,22,CHI,11.0,69.0,580,0.119,81,37.4,25.0,4.1,7.7,1.0,0.6,.445,.332,.858,13.1,.208
5,Kris Humphries\humphkr01,25,NJN,1.0,63.0,580,0.109,74,27.9,10.0,10.4,1.1,0.4,1.1,.527,.000,.665,5.4,.125
6,Kyle Lowry\lowryky01,24,HOU,3.0,48.0,580,0.083,75,34.2,13.5,4.1,6.7,1.4,0.3,.426,.376,.765,7.0,.130
7,Russell Westbrook\westbru01,22,OKC,3.0,46.0,580,0.079,82,34.7,21.9,4.6,8.2,1.9,0.4,.442,.330,.842,9.4,.159
8,Wesley Matthews\matthwe02,24,POR,2.0,32.0,580,0.055,82,33.6,15.9,3.1,2.0,1.2,0.1,.449,.407,.844,7.2,.126
9,Jrue Holiday\holidjr01,20,PHI,1.0,15.0,580,0.026,82,35.4,14.0,4.0,6.5,1.5,0.4,.446,.365,.823,5.7,.094
10,Mike Conley\conlemi01,23,MEM,0.0,14.0,580,0.024,81,35.5,13.7,3.0,6.5,1.8,0.2,.444,.369,.733,6.6,.111
11,Arron Afflalo\afflaar01,25,DEN,0.0,13.0,580,0.022,69,33.7,12.6,3.6,2.4,0.5,0.4,.498,.423,.847,6.2,.128
12,Roy Hibbert\hibbero01,24,IND,1.0,9.0,580,0.016,81,27.7,12.7,7.5,2.0,0.4,1.8,.461,.000,.745,3.6,.077
13,DeMar DeRozan\derozde01,21,TOR,1.0,6.0,580,0.010,82,34.8,17.2,3.8,1.8,1.0,0.4,.467,.096,.813,3.2,.055
14T,Eric Gordon\gordoer01,22,LAC,0.0,5.0,580,0.009,56,37.7,22.3,2.9,4.4,1.3,0.3,.450,.364,.825,5.3,.120
14T,Tyler Hansbrough\hansbty01,25,IND,0.0,5.0,580,0.009,70,21.9,11.0,5.2,0.6,0.5,0.2,.465,.000,.779,3.8,.118
14T,Nick Young\youngni01,25,WAS,0.0,5.0,580,0.009,64,31.8,17.4,2.7,1.2,0.7,0.3,.441,.387,.816,2.8,.065
17T,Darrell Arthur\arthuda01,22,MEM,0.0,4.0,580,0.007,80,20.1,9.1,4.3,0.7,0.7,0.8,.497,.000,.813,3.8,.113
17T,Serge Ibaka\ibakase01,21,OKC,0.0,4.0,580,0.007,82,27.0,9.9,7.6,0.3,0.4,2.4,.543,.000,.750,7.6,.164
17T,DeAndre Jordan\jordade01,22,LAC,0.0,4.0,580,0.007,80,25.6,7.1,7.2,0.5,0.5,1.8,.686,.000,.452,5.2,.122
17T,Thaddeus Young\youngth01,22,PHI,0.0,4.0,580,0.007,82,26.0,12.7,5.3,1.0,1.1,0.3,.541,.273,.707,6.2,.139
21T,D.J. Augustin\augusdj01,23,CHA,0.0,3.0,580,0.005,82,33.6,14.4,2.7,6.1,0.7,0.0,.416,.333,.906,6.2,.108
21T,Luol Deng\denglu01,25,CHI,0.0,3.0,580,0.005,82,39.1,17.4,5.8,2.8,1.0,0.6,.460,.345,.753,9.9,.149
21T,Amar'e Stoudemire\stoudam01,28,NYK,0.0,3.0,580,0.005,78,36.8,25.3,8.2,2.6,0.9,1.9,.502,.435,.792,8.0,.134
24T,Tony Allen\allento01,29,MEM,0.0,1.0,580,0.002,72,20.8,8.9,2.7,1.4,1.8,0.6,.510,.174,.753,4.7,.152
24T,Michael Beasley\beaslmi01,22,MIN,0.0,1.0,580,0.002,73,32.3,19.2,5.6,2.2,0.7,0.7,.450,.366,.753,1.7,.035
24T,Elton Brand\brandel01,31,PHI,0.0,1.0,580,0.002,81,34.7,15.0,8.3,1.5,1.1,1.3,.512,.000,.780,9.4,.161
24T,Tyson Chandler\chandty01,28,DAL,0.0,1.0,580,0.002,74,27.8,10.1,9.4,0.4,0.5,1.1,.654,,.732,9.4,.218
24T,Jared Dudley\dudleja01,25,PHO,0.0,1.0,580,0.002,82,26.1,10.6,3.9,1.3,1.1,0.2,.477,.415,.743,5.6,.126
24T,Marcin Gortat\gortama01,26,TOT,0.0,1.0,580,0.002,80,25.4,10.2,7.9,0.9,0.5,1.1,.561,.250,.725,6.4,.152
24T,James Harden\hardeja01,21,OKC,0.0,1.0,580,0.002,82,26.7,12.2,3.1,2.1,1.1,0.3,.436,.349,.843,7.1,.156
24T,Jodie Meeks\meeksjo01,23,PHI,0.0,1.0,580,0.002,74,27.9,10.5,2.3,1.1,0.9,0.1,.425,.397,.894,5.1,.120
