Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Corliss Williamson\willico02,28,DET,56.0,56.0,125,0.448,78,21.8,13.6,4.1,1.2,0.6,0.3,.510,.200,.805,5.1,.144
2,Bobby Jackson\jacksbo01,28,SAC,30.0,30.0,125,0.240,81,21.6,11.1,3.1,2.0,0.9,0.1,.443,.361,.810,5.4,.148
3,Quentin Richardson\richaqu01,21,LAC,20.0,20.0,125,0.160,81,26.6,13.3,4.1,1.6,1.0,0.3,.432,.381,.765,5.6,.125
4,Malik Rose\rosema01,27,SAS,8.0,8.0,125,0.064,82,21.0,9.4,6.0,0.7,0.9,0.5,.463,.083,.720,4.4,.123
5T,Troy Hudson\hudsotr01,25,ORL,3.0,3.0,125,0.024,81,22.9,11.7,1.8,3.1,0.7,0.1,.434,.353,.876,2.5,.064
5T,Desmond Mason\masonde01,24,SEA,3.0,3.0,125,0.024,75,32.3,12.4,4.7,1.4,0.9,0.4,.464,.271,.848,4.7,.093
7,Hedo Turkoglu\turkohe01,22,SAC,2.0,2.0,125,0.016,80,24.6,10.1,4.5,2.0,0.7,0.4,.422,.368,.726,5.2,.127
8T,Ricky Davis\davisri01,22,CLE,1.0,1.0,125,0.008,82,23.8,11.7,3.0,2.2,0.8,0.3,.481,.314,.790,2.8,.068
8T,Robert Horry\horryro01,31,LAL,1.0,1.0,125,0.008,81,26.4,6.8,5.9,2.9,1.0,1.1,.398,.374,.783,6.9,.154
8T,Jacque Vaughn\vaughja01,26,ATL,1.0,1.0,125,0.008,82,22.6,6.6,2.0,4.3,0.8,0.0,.470,.444,.825,3.5,.091
